iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
2000,0,0,0,0,0
2000,1,12,0,0,0
2000,2,0,0,0,0
2000,3,12,0,0,0
2000,4,2.83333,-2.20618,-6.82778,0.0347468
2000,5,4.53333,-2.60778,-9.18614,-1.94204
2000,6,4.06667,-0.041253,-8.47271,-4.48207
2000,7,4.33333,3.19699,-8.4116,-0.097232
2000,8,4.03333,5.09812,-4.36476,-0.933685
2000,9,4.06667,-0.974539,-6.81658,-1.15187
2000,10,4.23333,-3.4218,-12.0587,2.48644
2000,11,3.9,-1.72397,-11.1782,1.49327
2000,12,4.23333,-0.16609,-12.4635,3.00701
2000,13,4.2,2.40897,-9.14747,0.923191
2000,14,4.13333,2.39594,-5.57819,0.0153502
2000,15,4.46667,-1.39764,-7.28719,3.98158
2000,16,4.36667,1.04832,-8.32274,0.581383
2000,17,4.1,2.878,-14.856,1.08708
2000,18,4.03333,-1.95885,-11.4677,-0.0140123
2000,19,4.63333,1.71183,-6.45414,1.67386
2000,20,3.93333,-0.695379,-4.64545,2.37728
2000,21,4.13333,0.89466,-14.4597,0.880781
2000,22,3.86667,2.13256,-8.81288,-3.54118
2000,23,4.13333,-0.875874,-12.1016,0.973225
2000,24,4.2,0.0282719,-12.4215,1.27658
2000,25,3.86667,-2.93397,-8.45677,-1.52862
2000,26,4.3,2.20296,-11.7785,0.763884
2000,27,4.16667,-0.816024,-8.9785,-1.60955
2000,28,4.2,0.0208965,-11.228,0.388941
2000,29,4.06667,-2.40895,-10.1153,0.530206
2000,30,4.23333,0.123176,-12.9958,2.05107
2000,31,4.06667,-2.59273,-7.57815,1.59164
2000,32,4.36667,2.28557,-9.65537,-0.225677
2000,33,3.93333,2.71377,-6.48015,-4.91194
2000,34,3.86667,-1.3587,-9.03039,-0.768414
2000,35,4.36667,-6.50843,-9.18666,-1.34278
2000,36,3.8,-3.86967,-6.23312,-3.17937
2000,37,4.36667,3.76131,-10.6529,-1.3947
2000,38,4.6,-0.704938,-3.91106,-3.59079
2000,39,3.6,-1.56592,-6.14828,0.0905981
2000,40,4.33333,-0.224828,-11.2353,2.34074
2000,41,4.46667,1.89677,-5.97497,-1.27331
2000,42,3.93333,-0.98699,-8.1064,-1.03214
2000,43,5.06667,3.73388,-11.988,2.76906
2000,44,0.633333,0.335729,-2.8434,-0.723257
2000,45,12,0,0,0
2000,46,0,0,0,0
2000,47,12,0,0,0
2000,48,0,0,0,0
2000,49,0,0,0,0
4000,0,0,0,0,0
4000,1,12,0,0,0
4000,2,0,0,0,0
4000,3,12,0,0,0
4000,4,2.76667,0.424511,-4.80324,0.273775
4000,5,4.43333,5.09874,-16.2583,-0.520846
4000,6,4,0.137038,-15.9251,2.21518
4000,7,4.1,-5.53747,-13.8921,-0.34631
4000,8,3.93333,-0.787275,-17.9419,-0.917842
4000,9,4.43333,-6.55259,-19.7446,-1.32169
4000,10,3.83333,-0.19335,-12.568,1.54714
4000,11,4.33333,5.62649,-19.6135,-0.465801
4000,12,3.86667,0.37218,-14.1205,-3.34694
4000,13,4.73333,-1.76968,-23.189,3.73697
4000,14,3.93333,1.41231,-18.466,2.95887
4000,15,4.43333,-1.35207,-20.0091,3.93604
4000,16,3.93333,0.010793,-18.8304,-0.118244
4000,17,4.16667,-0.0577985,-14.1153,0.801558
4000,18,4,1.2178,-15.5619,1.82462
4000,19,4.36667,-4.15763,-19.8641,0.320926
4000,20,4.2,-2.29427,-17.72,5.56512
4000,21,4.56667,7.38053,-21.7814,2.44939
4000,22,3.66667,-0.432432,-17.5674,-1.54652
4000,23,4.33333,-0.384222,-19.7687,-1.00884
4000,24,4.26667,0.730611,-20.0512,0.384599
4000,25,4.33333,-2.27572,-22.2566,1.80614
4000,26,3.83333,2.5085,-15.2004,-1.7114
4000,27,4.43333,0.0153664,-20.6556,-1.33765
4000,28,3.83333,-2.46204,-16.9115,3.0236
4000,29,4.3,3.00326,-20.4449,4.14298
4000,30,4.4,3.99874,-21.6813,-5.15851
4000,31,3.83333,0.154991,-17.8819,1.42335
4000,32,4.1,-1.0501,-15.6206,1.50394
4000,33,4.4,1.0905,-19.319,-2.41885
4000,34,4.13333,-0.030426,-15.3533,-2.16936
4000,35,3.96667,-2.76364,-14.9211,0.554274
