iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
6000,15,4.3,-0.943403,-64.3503,1.55754
6000,16,4.33333,1.78458,-67.9841,3.56883
6000,17,4.46667,-3.30907,-66.5133,3.86203
6000,18,4.1,2.43605,-65.0227,3.38636
6000,19,4.43333,0.311678,-67.7263,1.51196
6000,20,4.73333,4.59001,-77.2533,-2.09873
6000,21,3.83333,-0.0417819,-58.6755,-2.02274
6000,22,4.83333,2.72693,-73.6846,-2.02575
6000,23,4.43333,-2.42853,-71.5535,-5.36134
6000,24,4.4,0.116204,-72.8611,-4.63966
6000,25,4.5,1.25501,-69.2077,2.03727
6000,26,4.4,1.64117,-68.3649,0.555255
6000,27,4.46667,-3.97762,-68.5432,-0.28581
6000,28,4.63333,-3.88521,-70.8799,4.19757
6000,29,4.16667,-1.54477,-66.2139,1.45254
6000,30,4.5,2.67471,-66.7129,0.0112295
6000,31,4.4,2.06389,-67.4096,-2.21825
6000,32,4.43333,1.2133,-67.1964,4.25245
6000,33,4.23333,-0.233306,-63.2092,5.18028
6000,34,4.36667,-3.93651,-66.7772,-2.52074
6000,35,4.33333,-6.65149,-57.6196,0.38238
6000,36,3.86667,0.971692,-53.4282,4.08436
6000,37,4.06667,0.220999,-55.6337,2.43225
6000,38,4.13333,3.00763,-55.2669,0.873748
6000,39,3.26667,-1.27801,-46.8872,0.279086
6000,40,4.26667,-5.98075,-50.8227,-1.14079
6000,41,3.66667,-1.57773,-40.889,0.760142
6000,42,3.86667,1.81682,-42.5563,-0.804211
6000,43,4.43333,1.51042,-45.9189,0.0201793
6000,44,0.433333,-0.0655338,-3.33136,-0.465031
6000,45,12,0,0,0
6000,46,0,0,0,0
6000,47,12,0,0,0
6000,48,0,0,0,0
6000,49,0,0,0,0
8000,0,0,0,0,0
8000,1,12,0,0,0
8000,2,0,0,0,0
8000,3,12,0,0,0
8000,4,1.96667,-0.511118,-26.1775,-0.105919
8000,5,3.66667,1.59488,-44.6713,0.0951098
8000,6,3.5,-3.44449,-52.3335,2.08324
8000,7,3.53333,-1.99181,-57.1175,0.549033
8000,8,3.46667,4.68124,-54.1498,1.41885
8000,9,3.76667,2.87746,-60.9356,-0.366234
8000,10,4.23333,1.79851,-76.2661,-0.44005
8000,11,4.1,1.8662,-77.8466,-2.02405
8000,12,3.83333,0.224524,-73.0539,-3.8533
8000,13,4.46667,0.504408,-82.2504,4.5625
8000,14,4.33333,3.11206,-80.4827,-0.964462
8000,15,4.43333,-0.0875523,-89.8585,-1.86998
8000,16,4.3,1.37923,-85.2864,0.653448
8000,17,4.46667,-0.696508,-83.7752,3.65002
8000,18,4.36667,4.15665,-86.8558,-1.21342
8000,19,4.3,-0.103747,-85.7297,0.520002
8000,20,4.43333,4.83769,-86.8135,0.955525
8000,21,4.96667,2.97021,-103.894,-0.984285
8000,22,4.33333,2.23674,-90.7412,0.895336
8000,23,4.26667,-0.599294,-89.3693,-0.142843
8000,24,4.86667,1.78295,-100.355,1.37494
8000,25,4.33333,1.25766,-89.2124,3.42334
8000,26,4.6,0.910049,-95.4507,-0.646462
8000,27,4.16667,2.03428,-88.1656,1.87445
8000,28,4.83333,-1.73856,-99.8332,3.09778
8000,29,4.46667,2.64666,-93.9102,2.62127
8000,30,4.8,-3.02244,-96.5639,0.424904
8000,31,4.46667,-2.13272,-88.9908,4.05655
8000,32,4.6,-1.31413,-89.5372,-0.0742511
8000,33,4.16667,1.18847,-80.0434,0.692192
8000,34,4.3,-3.88777,-85.2013,-0.682271
8000,35,4.43333,-4.71956,-82.6307,0.250002
8000,36,3.83333,-0.289616,-72.5331,-2.30442
8000,37,4.43333,-1.6528,-77.0371,-1.18474
8000,38,4.16667,0.85701,-72.6673,-0.584811
