iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
2000,0,0,0,0,0
2000,1,12,0,0,0
2000,2,0,0,0,0
2000,3,12,0,0,0
2000,4,2.7,-3.40671,-18.7256,2.19098
2000,5,4.36667,2.23757,-26.4641,-2.37633
2000,6,4.03333,2.82628,-25.8143,6.43013
2000,7,4.4,-4.80356,-31.0614,0.377704
2000,8,4.6,-1.51336,-32.2106,-5.97845
2000,9,3.86667,0.714295,-29.7502,-1.91663
2000,10,3.7,0.917682,-32.1188,1.84357
2000,11,4.33333,1.0032,-36.0859,-0.409609
2000,12,4,0.922071,-31.2383,-2.42687
2000,13,4.16667,0.080681,-33.5292,2.16411
2000,14,4.4,1.27325,-38.9415,0.844544
2000,15,4.13333,4.40271,-36.9822,-1.24734
2000,16,4.43333,2.06845,-32.8994,0.197181
2000,17,3.43333,-0.242041,-32.6237,1.3306
2000,18,4.53333,0.856854,-39.3454,1.25744
2000,19,3.93333,3.40796,-33.3067,1.78312
2000,20,4.13333,0.411225,-34.4106,-0.0846262
2000,21,4.16667,2.73417,-33.6469,-0.295996
2000,22,4.13333,1.57769,-36.6235,1.87153
2000,23,4.43333,-5.34108,-40.982,-1.47632
2000,24,4.1,0.20158,-33.7086,-2.3812
2000,25,4.33333,3.6467,-35.4307,4.48221
2000,26,4.06667,-2.76234,-33.2383,1.97859
2000,27,4.2,2.59711,-40.1901,-2.14602
2000,28,4.36667,-2.12056,-35.1962,-2.68588
2000,29,4.23333,0.383294,-37.4683,-2.45741
2000,30,4.4,-3.58288,-40.8967,3.5433
2000,31,3.9,-2.91149,-34.8662,3.14568
2000,32,4.1,-0.911149,-30.7342,1.76111
2000,33,3.63333,3.63537,-26.6034,-4.18427
2000,34,4.46667,3.87378,-36.0749,0.878969
2000,35,3.86667,-2.88973,-28.3388,-1.6806
2000,36,4.26667,0.100476,-33.3295,-0.569513
2000,37,4.36667,0.820001,-32.7355,-2.12964
2000,38,4.83333,-4.099,-36.096,-1.2839
2000,39,3.96667,-0.725834,-31.8097,-4.02624
2000,40,4,-0.169926,-25.1888,1.39919
2000,41,4.5,6.35594,-32.3323,0.790857
2000,42,4.03333,-0.547132,-27.0807,-2.19752
2000,43,4.63333,-4.93344,-26.1358,1.99825
2000,44,0.5,-0.920257,-1.68974,-0.880169
2000,45,12,0,0,0
2000,46,0,0,0,0
2000,47,12,0,0,0
2000,48,0,0,0,0
2000,49,0,0,0,0
4000,0,0,0,0,0
4000,1,12,0,0,0
4000,2,0,0,0,0
4000,3,12,0,0,0
4000,4,2.2,1.53189,-26.55,0.303402
4000,5,4.06667,3.26241,-47.0869,-1.34553
4000,6,3.76667,-1.47507,-45.5391,-1.80945
4000,7,4.1,1.88716,-57.0337,-1.10375
4000,8,3.53333,2.17959,-49.844,0.951285
4000,9,3.76667,3.24395,-53.6598,1.7873
4000,10,4.06667,1.3904,-60.5862,-0.254444
4000,11,4.2,0.879785,-67.2045,0.593303
4000,12,4.83333,2.89948,-77.6729,0.0878193
4000,13,3.56667,1.96583,-59.7557,1.2331
4000,14,4.26667,-1.75089,-71.4548,-1.44955
4000,15,4.2,-2.36872,-67.8586,-3.04845
4000,16,3.83333,0.151831,-62.1497,3.94637
4000,17,5.03333,0.0273412,-82.171,0.744661
4000,18,4.3,3.26638,-71.2903,-1.70404
4000,19,4.43333,-0.804796,-72.0512,-2.31081
4000,20,4.1,0.108692,-69.9231,-0.640136
4000,21,4.56667,1.57319,-72.5908,-2.51153
4000,22,4.33333,-1.88493,-71.3767,0.520942
4000,23,4.13333,1.67141,-67.6183,-0.947363
4000,24,4.06667,0.16529,-66.8377,1.16041
4000,25,4.56667,4.41942,-78.9365,1.53622
4000,26,4.23333,-3.25982,-67.0746,4.65896
4000,27,4.36667,2.02749,-70.4328,-1.53587
4000,28,4.33333,0.678701,-69.4666,-1.54582
4000,29,4.03333,2.66345,-65.922,-0.462944
4000,30,4.2,-2.94507,-70.6257,-2.61662
4000,31,4.6,1.17142,-79.7765,-1.59302
4000,32,4,0.820367,-65.191,-0.00406978
4000,33,4.26667,-1.74477,-72.0978,-1.89143
4000,34,4.53333,-1.93919,-70.8049,0.752511
4000,35,4.16667,-1.2753,-69.5703,-1.33409
4000,36,3.93333,-1.14705,-60.1881,3.23571
